#,name,Chukar.Occurrence,Galbreath,Chukar.Occurrence.Regression
718,Malott,P,Y,1
719,Maltby,A,N,0
720,Manastash Creek,A,Y,0
721,Manastash Lake,A,Y,0
722,Mansfield,P,Y,1
723,Manson,P,N,1
724,Maple Falls,A,Y,0
725,Maple Valley,A,N,0
726,Marblemount,A,Y,0
727,Marcus,A,Y,0
728,Marengo,P,Y,1
729,Marlin,P,Y,1
730,Marlin SW,P,Y,1
731,Martin Peak,P,Y,1
732,Marysville,A,N,0
733,Mason Lake,A,N,0
734,Matheny Ridge,A,N,0
735,Mathews Corner,P,Y,1
736,Matlock,A,N,0
737,Maxwelton,A,Y,0
738,Mayfield Lake,A,N,0
739,Maytown,A,N,0
740,Mazama,A,Y,0
741,McAlester Mountain,A,N,0
742,McCartney Peak,A,Y,0
743,McCleary,A,N,0
744,McCoy Lake,A,Y,0
745,McCoy Peak,A,N,0
746,McDonald Spring,P,Y,1
747,McGregor Mountain,A,N,0
748,McKays Butte,A,Y,0
749,McKenna,A,N,0
750,McLeod Mountain,A,Y,0
751,McMurray,A,Y,0
752,McNeil Island,A,Y,0
753,Mead,A,Y,0
754,Meadow Mountain,A,N,0
755,Medical Lake,A,Y,0
756,Medicine Valley,A,Y,0
757,Meeks Table,A,Y,0
758,Menlo,A,N,0
759,Mesa East,P,Y,1
760,Mesa West,P,Y,1
761,Metaline,A,Y,0
762,Metaline Falls,A,Y,0
763,Methow,P,Y,1
764,Mica Mountain,P,Y,1
765,Mica Peak,A,Y,0
766,Midnight Mountain,A,Y,0
767,Milk Canyon,A,Y,0
768,Miller Mountain,A,N,0
769,Mineral,A,N,0
770,Mission Peak,P,N,1
771,Moclips,A,N,0
772,Mold,P,Y,1
773,Molson,A,Y,0
774,Mondovi,A,Y,0
775,Monitor,P,N,1
776,Monroe,A,N,0
777,Monse,P,Y,1
778,Monte Cristo,A,N,0
779,Montesano,A,N,0
780,Monument Hill,P,Y,1
781,Monumental Mountain,A,N,0
782,Monumental Rock,P,Y,1
783,Moon Mountain,A,N,0
784,Morse Creek,A,Y,0
785,Morton,A,N,0
786,Moscow West,P,N,1
787,Moses Lake North,P,Y,1
788,Moses Lake NW,P,Y,1
789,Moses Lake South,P,Y,1
790,Moses Meadows,P,Y,1
791,Moses Mountain,P,Y,1
792,Mossyrock,A,N,0
793,Mount Adams East,A,N,0
794,Mount Adams West,A,N,0
795,Mount Angeles,A,Y,0
796,Mount Annie,A,Y,0
797,Mount Arriva,A,Y,0
798,Mount Baker,A,Y,0
799,Mount Barney,P,Y,1
